hogar;agente;tipo_domicilio;forma_pago;dia;hora;duracion_minutos;valor
242;41;2;2;20;8;33;135000
219;65;3;2;29;11;44;162000
24;79;3;2;22;13;29;104000
98;51;3;3;28;9;56;154000
126;20;2;2;3;17;57;183000
904;29;1;3;3;7;20;83000
318;55;4;2;18;5;42;73000
947;28;1;1;15;19;28;52000
95;86;4;3;20;0;36;29000
173;87;2;2;10;3;25;79000
553;100;1;3;13;8;19;115000
155;6;3;1;28;23;57;3000
668;27;4;2;2;16;38;122000
182;16;3;3;14;15;19;108000
626;46;2;1;5;10;10;157000
543;77;4;1;9;0;56;133000
430;62;3;3;2;13;25;165000
329;46;3;1;7;20;59;178000
565;44;3;2;18;0;38;109000
417;16;4;2;12;17;52;130000
103;19;2;1;22;1;59;195000
321;43;1;1;7;12;16;70000
119;89;2;1;2;2;31;70000
340;76;1;2;3;0;49;119000
694;45;4;1;8;23;32;123000
784;67;1;3;22;14;40;122000
930;44;1;2;26;0;57;142000
657;91;2;2;22;1;53;97000
322;69;2;3;25;6;53;49000
907;65;4;2;1;7;57;124000
311;42;2;3;26;9;11;32000
727;11;2;3;17;12;29;85000
124;88;3;1;18;2;23;115000
759;49;1;2;29;1;10;124000
857;35;3;1;29;13;18;122000
918;79;3;3;3;13;45;37000
142;28;2;3;11;12;30;151000
146;35;4;1;30;17;51;11000
438;24;1;1;28;8;53;97000
499;61;4;2;13;8;34;39000
719;11;3;3;21;4;38;76000
516;89;2;2;16;8;44;163000
717;92;4;2;21;14;27;75000
414;74;2;3;18;22;23;37000
355;66;2;2;1;9;34;113000
681;42;4;2;18;22;37;60000
825;85;3;2;4;7;21;80000
885;47;1;3;14;20;48;88000
914;73;4;2;25;19;36;65000
123;81;2;1;22;20;38;86000
21;2;1;1;30;3;37;70000
603;10;4;2;11;23;31;62000
140;59;1;1;21;5;32;17000
904;84;4;3;31;14;37;78000
30;15;4;2;4;8;21;23000
290;38;4;2;19;21;28;33000
891;70;4;1;20;8;27;43000
103;30;3;1;29;21;55;168000
246;24;2;3;25;0;31;12000
636;39;4;2;11;22;36;192000
707;52;1;3;17;19;49;82000
869;7;4;1;22;10;10;125000
421;40;1;3;25;21;54;191000
847;25;3;2;28;15;50;60000
232;53;2;2;5;4;29;130000
484;23;2;3;19;0;30;73000
169;80;2;1;29;4;56;47000
697;8;2;1;29;17;18;66000
120;97;2;2;3;18;42;34000
941;74;3;3;29;3;59;35000
984;38;1;1;15;14;37;194000
818;87;2;3;14;4;42;170000
959;33;3;2;14;20;29;152000
239;72;4;3;31;5;54;90000
990;66;1;3;18;12;38;63000
805;66;2;2;25;14;24;60000
798;23;2;2;20;22;43;75000
111;89;3;2;21;12;20;170000
506;58;1;3;6;10;15;95000
408;74;3;2;4;8;21;58000
588;91;1;1;5;13;37;32000
546;38;4;2;21;4;13;199000
56;41;1;2;31;6;47;124000
418;75;2;1;23;4;57;41000
677;85;2;1;15;22;43;122000
580;71;2;3;1;19;52;47000
168;85;2;1;31;11;58;187000
508;2;1;2;1;17;34;114000
738;82;4;2;22;23;18;103000
794;61;1;2;28;5;55;131000
736;63;2;1;17;23;33;111000
146;34;2;3;28;13;48;100000
959;63;2;2;25;13;36;43000
396;54;3;3;17;6;12;1000
725;53;2;1;14;21;34;32000
162;99;3;3;7;2;20;47000
992;43;3;3;19;4;46;59000
814;77;3;3;29;9;30;17000
953;8;2;2;24;19;12;163000
213;98;3;1;31;15;29;1000
14;100;4;3;24;17;48;23000
207;13;2;1;3;4;33;71000
659;37;3;1;23;1;37;26000
936;91;2;3;26;12;23;81000
702;41;4;2;10;12;17;194000
562;72;4;2;26;13;41;79000
190;28;1;3;1;7;54;131000
543;21;4;1;9;2;57;42000
146;50;2;3;4;1;42;43000
754;84;2;1;4;17;20;41000
152;45;3;2;24;14;31;140000
688;86;4;1;15;6;19;160000
782;59;2;3;7;9;52;25000
818;87;3;2;20;2;40;49000
311;17;4;2;1;7;14;159000
620;38;3;3;26;14;48;26000
81;62;4;1;6;6;10;82000
463;25;1;3;18;16;25;104000
396;44;4;2;23;19;11;172000
537;63;1;2;2;8;22;115000
770;33;2;2;5;23;27;167000
677;19;3;3;11;19;53;189000
880;48;1;2;3;3;47;194000
110;94;1;1;4;7;58;196000
401;7;3;3;8;2;10;110000
538;45;1;2;19;16;48;88000
756;78;4;2;7;7;43;130000
638;32;4;2;16;20;36;99000
880;68;4;3;1;11;28;16000
632;16;1;3;4;4;35;22000
299;81;4;1;3;1;30;185000
549;39;3;1;6;6;35;141000
36;12;1;1;11;0;34;155000
31;17;1;2;2;12;38;5000
398;35;3;3;24;9;41;53000
261;67;1;3;1;6;35;67000
917;88;3;3;21;22;15;197000
663;40;1;1;19;16;57;136000
465;59;4;2;14;7;54;146000
509;95;4;1;28;10;41;109000
233;27;4;3;14;18;44;52000
116;10;4;1;12;2;41;190000
927;98;2;1;28;1;49;5000
841;9;1;3;2;19;32;194000
576;30;1;3;12;10;44;123000
526;71;1;2;27;17;39;49000
182;70;1;3;2;6;26;106000
907;88;4;1;1;3;54;66000
63;29;2;3;3;12;16;141000
578;100;1;1;30;13;10;182000
265;44;1;2;27;17;19;136000
206;4;3;1;3;18;21;196000
214;57;3;1;26;17;21;68000
40;69;1;1;14;5;20;2000
190;1;3;3;27;15;44;57000
236;83;4;1;14;2;55;31000
249;95;2;3;13;3;29;170000
40;22;1;2;28;3;34;68000
771;96;2;1;28;16;29;95000
242;2;4;1;16;15;22;9000
970;43;2;1;13;11;19;113000
52;63;3;1;7;18;18;199000
836;66;2;1;9;22;47;124000
599;15;4;3;17;21;55;155000
784;41;2;3;29;17;55;4000
243;9;4;1;28;16;45;133000
596;75;3;1;19;7;19;39000
95;19;4;3;29;11;43;59000
921;68;1;2;6;3;58;106000
60;59;2;2;28;9;52;177000
13;23;3;3;22;10;49;92000
545;43;4;1;19;17;36;51000
145;9;3;3;16;7;20;22000
576;86;3;2;25;10;53;42000
673;17;4;2;10;3;43;41000
467;6;3;1;20;9;21;180000
834;98;2;1;6;19;47;64000
857;66;4;3;5;14;43;76000
838;48;2;3;1;15;35;133000
508;65;2;1;13;11;47;4000
517;65;1;1;19;7;55;19000
85;23;4;2;19;17;12;160000
543;43;4;2;29;6;19;77000
353;32;1;1;6;5;54;6000
342;42;4;1;15;15;51;191000
417;3;3;1;25;9;12;26000
62;76;1;2;19;5;39;115000
426;60;2;1;31;7;52;180000
151;31;3;2;1;13;55;79000
932;59;3;3;13;21;18;11000
101;63;3;1;19;10;32;5000
841;91;3;2;18;8;59;199000
523;42;3;3;19;8;32;56000
74;39;3;3;4;8;53;143000
419;66;1;2;19;3;27;84000
681;48;1;3;18;14;44;200000
694;37;2;1;15;1;28;175000
556;20;2;3;26;9;59;41000
52;45;2;3;25;18;34;128000
894;27;3;1;27;14;25;48000
152;40;2;3;7;13;18;94000
281;83;1;2;29;19;58;46000
521;94;4;2;31;13;46;67000
141;65;1;1;29;6;21;98000
693;76;4;3;27;16;23;16000
843;58;4;2;16;18;11;183000
354;32;4;1;19;5;49;72000
872;44;2;1;18;16;33;166000
684;87;1;2;16;4;22;164000
435;38;4;2;17;15;33;61000
562;13;3;1;12;15;23;49000
734;23;2;1;11;16;28;186000
228;43;2;2;29;11;11;182000
576;46;2;2;16;10;44;98000
470;73;2;2;29;0;14;175000
256;33;3;2;7;12;27;56000
425;54;3;2;31;16;46;157000
553;22;4;2;28;15;55;160000
813;63;4;2;14;15;14;119000
306;83;1;1;1;14;51;130000
407;81;3;3;10;2;19;190000
637;72;4;1;24;14;56;124000
512;96;1;1;23;2;41;161000
874;86;3;3;10;0;57;187000
347;77;2;2;14;14;29;135000
654;50;3;3;3;15;27;132000
923;75;1;3;22;23;40;192000
590;43;3;1;10;3;28;91000
949;33;1;2;26;9;48;8000
370;30;1;1;4;20;48;125000
171;65;1;2;13;18;49;45000
612;70;3;1;12;4;56;47000
849;1;3;3;4;2;49;46000
785;6;3;1;11;6;31;176000
414;50;1;1;17;8;16;110000
905;64;4;2;7;19;54;197000
990;33;3;1;3;19;21;153000
535;53;4;2;6;22;42;98000
520;33;1;1;21;14;22;75000
304;58;2;2;1;12;52;87000
285;66;1;3;28;11;28;174000
703;21;3;3;6;17;30;75000
396;5;3;3;16;16;17;1000
28;39;4;1;3;1;19;92000
87;25;4;1;19;20;41;124000
906;12;3;3;16;20;18;19000
947;20;2;2;6;22;56;138000
457;16;2;2;11;15;56;176000
509;94;2;3;1;0;17;29000
542;28;2;2;1;13;21;103000
597;12;3;2;20;14;17;186000
592;60;2;2;17;1;17;113000
276;68;2;1;18;4;49;131000
205;32;4;3;8;12;54;153000
209;94;4;3;20;12;15;88000
249;6;3;1;18;11;12;38000
717;12;4;1;6;4;12;67000
993;36;3;3;24;19;22;134000
701;88;2;3;1;16;27;114000
761;96;3;3;6;18;38;181000
707;60;4;3;6;1;54;182000
144;45;4;3;26;9;33;162000
634;63;4;2;28;0;41;38000
983;25;2;2;3;14;50;189000
429;50;2;3;21;4;53;99000
148;61;2;3;4;17;36;75000
784;74;3;3;25;8;47;166000
983;53;3;1;15;1;25;15000
758;29;3;3;18;7;49;19000
713;94;4;3;29;9;22;47000
943;51;1;1;18;22;49;88000
897;37;4;3;15;22;38;114000
88;89;3;1;8;10;24;133000
370;80;2;3;4;6;57;171000
822;55;3;3;25;21;47;46000
391;87;2;2;26;18;15;84000
113;39;2;3;22;5;48;142000
388;63;1;2;29;10;38;89000
770;22;1;1;28;17;33;40000
960;7;1;2;17;4;14;200000
336;83;1;3;13;8;35;153000
28;85;3;3;19;7;11;153000
135;40;2;1;14;22;45;22000
122;40;2;1;12;5;49;165000
837;1;1;1;3;3;15;81000
654;20;3;3;3;8;21;87000
775;57;2;3;14;18;27;79000
15;45;2;2;6;9;30;141000
807;50;2;3;18;3;36;65000
686;51;1;1;26;16;26;4000
706;43;1;2;22;18;25;81000
378;92;1;3;27;23;45;192000
945;15;2;2;5;20;11;49000
957;14;1;3;15;12;25;132000
384;70;1;2;26;12;24;78000
272;41;3;1;3;0;20;110000
752;93;3;1;26;23;38;147000
258;71;4;1;14;12;10;6000
939;42;2;3;24;12;29;158000
202;99;2;3;14;6;20;143000
354;40;2;1;8;21;14;123000
35;5;2;3;30;18;26;147000
300;57;4;2;2;7;36;36000
217;23;4;3;10;13;33;39000
460;61;3;3;5;10;31;148000
214;10;3;2;27;3;10;168000
76;49;3;2;11;20;36;11000
659;57;2;1;25;19;11;26000
542;57;3;1;8;22;29;30000
964;67;3;2;18;13;16;2000
506;61;2;3;7;15;47;155000
788;55;1;3;18;15;47;107000
472;78;3;2;27;5;49;177000
808;100;1;2;13;15;29;185000
114;15;3;1;4;4;20;30000
697;73;3;1;2;19;37;147000
862;37;2;3;22;3;56;13000
849;24;3;3;27;10;33;19000
164;61;4;1;9;8;12;59000
399;37;3;3;5;22;40;131000
532;6;1;3;22;1;36;68000
778;56;1;3;11;10;24;97000
553;48;3;3;19;8;16;74000
715;34;4;2;3;0;56;27000
580;69;2;3;9;2;28;97000
303;83;1;3;18;4;36;9000
357;97;2;2;16;5;52;17000
798;65;3;1;7;9;25;59000
768;1;3;3;9;15;47;164000
821;17;3;1;12;19;45;177000
763;96;2;3;11;11;27;151000
474;28;4;1;31;20;33;48000
85;52;1;3;24;12;54;41000
351;82;2;3;17;15;57;21000
828;34;2;1;8;16;19;10000
927;85;4;3;27;21;29;124000
448;66;2;2;26;2;26;27000
634;79;1;3;28;8;14;14000
5;19;1;2;19;22;15;37000
249;21;3;1;27;20;19;15000
115;51;1;1;11;18;59;170000
72;86;3;1;24;5;58;137000
693;5;3;2;28;4;35;30000
169;34;1;1;3;22;56;48000
906;70;3;2;17;11;43;49000
645;71;2;2;18;21;51;172000
749;92;1;2;15;15;39;177000
556;6;2;2;6;6;21;121000
51;42;2;1;13;7;41;121000
103;67;4;1;20;17;40;87000
643;73;3;2;3;3;41;32000
563;23;3;1;12;20;51;2000
723;64;4;1;9;20;25;15000
311;66;1;3;31;2;31;70000
245;64;3;2;6;15;21;155000
269;5;1;2;24;19;10;48000
890;78;1;3;19;0;31;195000
954;47;4;3;9;3;16;82000
416;37;4;1;1;7;14;176000
609;32;2;2;8;1;13;84000
718;51;3;1;20;16;16;38000
445;38;2;2;4;14;51;195000
654;12;1;3;16;10;47;185000
204;11;1;3;9;22;27;56000
299;45;3;2;11;22;55;105000
725;19;4;3;16;0;33;102000
840;53;4;1;7;19;31;109000
946;65;3;2;26;14;56;198000
917;86;2;2;18;7;14;90000
247;30;3;1;27;9;41;140000
530;93;3;3;13;14;23;25000
429;72;1;2;24;4;57;64000
727;91;4;2;23;8;10;34000
118;73;1;1;3;18;36;12000
906;100;2;2;8;14;21;187000
554;97;1;3;30;1;57;35000
482;89;1;1;31;13;31;51000
738;43;1;1;29;19;49;192000
484;3;1;1;8;22;10;120000
355;98;2;1;16;17;42;147000
637;77;2;2;1;12;18;88000
5;57;2;3;25;23;47;17000
490;27;3;1;6;12;39;57000
641;40;3;3;6;18;35;20000
184;69;4;1;29;3;18;94000
75;84;2;3;18;22;15;164000
504;39;4;3;3;3;26;61000
290;99;2;3;2;6;31;140000
297;90;2;1;2;14;17;84000
40;76;3;2;17;9;44;2000
548;61;1;3;26;9;52;118000
90;33;1;2;28;16;54;174000
542;58;3;2;27;8;33;99000
347;33;1;3;11;4;54;28000
654;75;4;1;8;6;24;65000
185;73;1;1;13;7;13;146000
840;19;4;2;22;19;49;143000
208;8;3;3;23;12;15;20000
804;9;4;3;9;9;13;184000
790;1;4;1;25;20;31;129000
707;77;1;1;18;4;35;146000
968;46;4;3;29;8;49;70000
143;5;2;2;28;9;51;110000
643;39;4;3;15;13;15;14000
593;14;4;1;30;17;44;107000
890;42;3;2;4;16;14;83000
600;25;4;2;30;9;13;138000
435;78;1;1;5;14;41;55000
367;45;2;3;8;20;59;158000
538;69;3;2;15;11;29;69000
533;27;1;3;21;17;52;123000
679;41;2;3;6;0;23;186000
619;3;1;2;29;17;10;85000
631;26;3;3;29;19;24;35000
410;30;2;2;17;10;53;187000
988;26;1;2;22;6;36;57000
176;61;1;2;22;12;28;65000
228;59;3;1;24;18;22;8000
744;84;1;2;8;3;32;199000
516;71;3;2;23;3;40;169000
478;61;3;1;11;10;32;58000
184;45;3;2;6;10;29;84000
493;12;4;2;10;13;32;140000
590;78;2;3;27;22;24;18000
265;48;4;3;16;0;41;20000
852;22;4;1;3;19;22;36000
697;68;1;1;9;5;47;14000
365;96;4;1;8;9;13;182000
777;93;3;1;31;8;57;85000
133;63;1;2;21;23;56;14000
754;80;4;2;13;1;45;48000
324;20;4;2;15;5;54;52000
511;92;2;3;4;6;11;43000
399;99;3;2;21;6;34;52000
287;63;4;1;20;14;11;169000
301;9;4;1;21;18;41;22000
947;33;3;2;16;15;13;179000
527;47;2;3;8;11;21;113000
761;55;1;2;24;11;30;139000
91;20;4;2;13;7;19;46000
864;22;1;3;6;2;28;112000
131;26;1;2;1;17;24;125000
254;40;1;1;16;15;54;152000
335;61;2;2;30;5;27;120000
334;44;3;1;19;8;31;184000
950;100;1;3;22;5;35;30000
491;84;1;2;13;22;19;82000
14;91;4;2;29;4;57;51000
762;38;1;2;6;21;39;170000
949;25;4;1;18;13;30;52000
269;6;4;1;22;6;58;172000
963;71;2;2;17;7;19;92000
380;60;2;3;10;9;12;158000
146;32;2;3;15;22;20;138000
992;64;3;2;22;12;40;65000
471;26;3;2;14;14;53;41000
117;81;2;1;22;22;20;118000
70;79;2;3;3;1;45;66000
428;81;2;2;8;8;57;144000
145;88;2;2;8;22;51;78000
630;81;3;1;23;9;46;149000
56;58;2;2;10;9;35;107000
54;61;3;3;28;0;33;181000
646;56;3;2;7;9;23;63000
741;53;4;1;10;9;39;162000
209;13;4;3;18;18;43;44000
400;64;1;2;19;16;11;72000
117;89;3;1;18;23;49;161000
443;32;3;1;9;6;51;193000
321;66;1;3;3;8;53;118000
725;98;1;1;11;4;26;110000
780;14;1;3;5;8;54;26000
791;56;4;1;9;15;47;64000
104;30;4;2;6;0;16;91000
994;29;1;3;2;23;34;143000
655;60;1;1;30;1;50;47000
919;62;1;1;1;0;57;198000
173;11;2;3;15;3;57;117000
312;71;4;3;8;20;47;23000
210;66;3;3;21;22;19;152000
209;14;3;2;1;10;30;61000
713;74;1;2;23;20;57;46000
100;5;1;2;6;12;41;157000
905;32;2;2;15;4;28;7000
454;87;3;3;29;18;24;200000
894;18;3;1;20;1;30;120000
479;68;2;3;13;1;42;128000
380;8;3;3;27;4;22;179000
918;42;4;1;13;5;59;138000
375;31;2;2;1;16;39;181000
155;68;2;2;25;16;54;117000
712;5;3;2;30;0;18;95000
584;56;2;2;2;14;19;124000
63;45;1;1;18;23;40;107000
581;7;3;1;23;22;10;50000
647;47;1;3;2;8;35;30000
920;97;4;3;21;17;54;143000
804;49;4;3;8;7;57;191000
570;39;2;2;7;15;42;140000
952;84;2;2;17;9;25;177000
702;2;2;2;30;22;10;128000
424;61;2;2;6;13;26;85000
345;74;4;1;12;22;23;105000
877;97;1;2;22;6;44;32000
835;12;3;1;19;11;27;141000
252;81;2;3;20;10;31;197000
190;100;2;1;24;19;57;174000
854;81;1;2;28;11;10;71000
620;43;2;1;16;2;11;190000
827;68;4;1;3;17;54;28000
186;83;4;2;8;17;35;14000
795;54;4;2;16;13;32;192000
31;79;3;1;26;9;40;184000
611;86;4;2;4;2;49;148000
260;59;3;3;7;5;18;78000
552;90;4;2;6;16;13;91000
106;6;2;3;31;17;53;17000
211;76;3;2;11;8;30;60000
218;74;4;3;9;12;18;112000
249;11;4;3;12;0;39;127000
699;23;1;1;7;0;42;186000
164;74;1;1;15;14;36;6000
341;36;4;1;2;8;37;60000
20;55;2;1;2;5;46;63000
196;10;1;2;19;13;38;19000
574;94;1;2;14;22;12;92000
84;5;3;2;14;10;38;120000
219;99;4;3;15;14;28;176000
729;30;2;1;21;21;43;188000
824;44;3;2;10;13;12;187000
300;66;3;2;23;5;38;53000
514;7;1;1;5;15;14;188000
462;23;3;3;14;20;33;153000
625;3;3;3;31;11;33;137000
280;26;4;2;23;14;13;115000
952;37;4;2;23;11;14;33000
564;19;2;2;26;22;38;183000
723;79;1;2;8;0;34;30000
930;97;1;2;5;21;47;11000
893;10;1;2;18;16;27;97000
424;28;3;3;13;22;15;137000
826;67;1;2;25;12;21;26000
439;87;1;2;21;17;19;128000
419;53;1;3;27;18;33;61000
644;4;3;3;3;5;23;61000
119;55;3;3;28;5;22;106000
695;88;2;1;14;8;35;15000
509;13;1;1;6;18;10;63000
428;94;4;1;1;9;25;44000
579;18;3;2;11;10;11;96000
515;31;3;3;30;14;34;70000
62;79;1;1;20;20;30;88000
259;15;3;1;16;2;43;101000
137;82;3;2;29;18;46;50000
546;35;4;1;29;21;32;127000
408;74;2;1;9;1;33;179000
755;59;3;1;25;15;24;144000
948;83;2;1;30;15;38;79000
210;100;2;2;4;11;11;40000
597;54;3;1;29;12;45;71000
667;85;1;2;31;12;24;142000
220;92;1;2;5;20;45;176000
943;15;3;1;2;0;56;127000
690;71;3;1;26;3;58;104000
309;67;2;3;22;10;11;140000
65;69;2;2;13;18;43;178000
125;82;2;2;23;5;52;126000
526;33;1;3;29;15;17;149000
239;85;3;2;20;13;16;10000
442;99;4;3;6;3;13;145000
156;31;3;3;19;8;19;152000
306;52;3;1;28;15;38;89000
47;48;1;1;25;22;48;178000
257;7;4;1;6;16;26;171000
561;66;1;2;18;12;43;55000
58;12;3;3;20;16;50;178000
736;65;3;2;26;3;44;162000
400;29;1;1;21;19;29;75000
443;31;3;2;14;21;26;31000
80;90;1;2;16;3;53;195000
7;65;1;1;17;13;28;84000
192;95;4;1;20;19;48;131000
317;40;2;2;6;13;16;118000
928;47;2;3;7;11;52;197000
267;56;1;3;23;1;58;103000
